location_mid west,location_north,location_north east,location_north west,location_south,location_south east,location_south west,property_type_apartments,property_type_dorms,property_type_homes,property_type_hostels,property_type_houses,property_type_school buildings,property_type_townhouses,construction_year,renovation_year,ever_renovated,predicted_price,hvac,plumbing,electrical
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1986,1917,1,533284,35,19,21
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1974,1917,1,172525,14,16,15
0,0,1,0,0,0,0,0,0,0,1,0,0,0,2003,1969,1,485900,17,14,27
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1947,1959,0,523564,26,13,47
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1909,1910,1,531174,22,24,20
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1992,1959,0,892735,33,24,29
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1945,1959,0,531944,35,13,30
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1936,1959,0,798644,25,9,21
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1967,1959,0,979607,11,9,40
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1928,1913,1,365027,25,22,22
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1968,1949,1,495468,27,7,27
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1966,1978,1,423804,24,9,33
0,0,0,0,0,0,1,0,0,0,0,0,1,0,2019,1959,0,640387,29,19,17
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1975,1950,1,113051,15,17,34
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1931,1909,1,190506,13,21,28
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1963,1959,0,868503,27,17,32
0,0,0,0,0,1,0,1,0,0,0,0,0,0,2013,1959,0,291533,31,11,16
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1928,1938,1,260794,23,20,38
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1965,1974,1,828690,29,24,18
0,0,0,0,0,1,0,0,0,1,0,0,0,0,2004,1959,0,794089,19,24,19
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1938,2022,1,198950,29,12,40
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1973,1927,1,570461,17,6,26
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1974,2002,1,175407,26,20,43
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1958,1959,0,566814,17,7,28
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1961,1936,1,291478,30,20,33
0,0,0,0,0,1,0,0,0,0,0,0,1,0,2014,1950,1,771662,16,16,26
0,0,0,0,1,0,0,1,0,0,0,0,0,0,2014,1908,1,706180,13,15,21
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1981,1959,0,583750,14,21,45
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1982,1940,1,364272,24,24,30
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1936,1961,1,37594,17,21,30
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1925,1959,0,152962,26,17,22
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1992,1959,0,569762,22,16,43
0,0,0,0,0,0,1,0,0,0,1,0,0,0,2007,1959,0,963315,30,15,27
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1990,1933,1,393741,27,21,37
0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,1959,0,305763,12,16,30
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1904,1982,1,745360,24,15,40
0,0,0,1,0,0,0,0,0,0,0,1,0,0,2022,1959,0,867504,28,23,21
0,0,0,0,0,1,0,0,0,0,0,0,0,1,2002,1959,0,557939,11,21,45
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1921,1959,0,197683,26,7,23
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1943,1900,1,161151,25,20,35
0,0,0,0,1,0,0,0,0,0,0,1,0,0,2011,1959,0,521461,11,15,39
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1909,1959,0,658586,29,6,38
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1979,1959,0,64847,21,18,29
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1984,1946,1,964894,20,23,32
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1918,1959,0,769120,34,16,18
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1948,1959,0,734957,20,19,29
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1996,1959,0,381973,8,12,34
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1989,1959,0,209341,23,6,16
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1967,1947,1,447448,29,22,17
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1903,1915,1,928571,26,9,24
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1945,1909,1,230321,9,20,27
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1940,1980,1,934904,8,8,23
0,0,0,0,0,0,1,0,1,0,0,0,0,0,2007,1959,0,537309,8,19,20
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1941,1959,0,86231,20,13,22
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1979,2000,1,479741,21,24,24
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1980,1959,0,118365,15,22,16
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1939,1939,1,817412,33,9,21
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1907,1959,0,431924,27,19,47
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996,1959,0,516464,22,24,31
0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,1959,0,293055,7,14,26
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1949,1959,0,89650,27,16,42
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1936,1959,0,947709,33,15,32
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1922,1959,0,140876,36,18,35
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1957,1959,0,440886,7,21,14
0,0,0,0,0,1,0,1,0,0,0,0,0,0,2019,1972,1,987048,14,11,21
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1998,1929,1,184750,16,22,24
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1953,2009,1,374980,26,23,17
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1991,1959,0,271865,22,10,27
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1976,1959,0,286603,14,20,41
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1914,1952,1,92516,23,16,39
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1927,1990,1,742415,19,24,18
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1955,1959,0,489469,13,23,41
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1945,1959,0,18163,13,22,36
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1930,1959,0,953348,28,10,34
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1921,1959,0,323620,12,7,19
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1955,1936,1,433255,15,12,13
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1933,1927,1,546890,9,23,20
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1997,1959,0,948095,26,14,39
0,0,0,0,0,1,0,0,0,0,1,0,0,0,2002,2002,1,283412,32,22,45
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1973,2014,1,395433,8,6,38
0,0,0,0,0,1,0,0,0,0,0,0,0,1,2009,1921,1,814638,23,9,36
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1934,1959,1,292234,30,24,37
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1920,1924,1,354485,24,6,42
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1938,1959,0,943380,36,22,16
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1943,1959,0,750130,17,21,39
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1961,1955,1,724068,29,7,42
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1943,1959,0,502670,13,22,29
1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,1991,1,610276,23,7,48
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1936,1959,0,945480,6,16,25
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1977,1959,0,157220,32,23,32
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1942,1959,0,109765,23,14,47
1,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,1959,0,679118,15,10,17
0,1,0,0,0,0,0,1,0,0,0,0,0,0,2018,1959,0,96325,34,15,41
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1928,1929,1,862724,30,17,12
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1999,1985,1,653599,28,10,16
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1986,2016,1,90356,23,10,36
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1940,1970,1,918627,27,9,39
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1956,1911,1,749765,12,24,19
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1980,1959,0,920767,13,21,34
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1908,1959,0,520600,7,23,35
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1947,1959,0,962184,14,10,43
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1984,1906,1,360803,17,12,37
0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,1921,1,795662,15,16,34
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1906,1959,0,425425,6,11,19
0,0,0,0,1,0,0,0,0,1,0,0,0,0,2006,1959,0,370372,13,8,16
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1949,1959,0,893746,17,10,42
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1967,1959,0,414879,8,22,36
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1989,1959,0,447565,10,18,24
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1956,1968,1,404041,26,14,14
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,1959,0,580008,28,22,18
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1932,1962,1,51141,29,20,34
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1918,1942,1,13749,31,18,37
0,1,0,0,0,0,0,1,0,0,0,0,0,0,2005,1959,0,134906,17,22,23
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1929,1903,1,970710,35,13,22
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1905,1959,0,551065,24,12,33
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1957,1959,0,319573,13,17,33
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1910,1959,0,688701,32,20,14
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1936,1959,0,768858,18,14,34
0,0,0,0,1,0,0,0,1,0,0,0,0,0,2021,1959,0,699686,26,21,40
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1992,1959,0,570821,16,16,39
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1927,1959,0,741190,11,13,38
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1958,1959,0,713436,29,19,41
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1947,1959,0,510606,14,7,48
0,0,0,0,0,1,0,0,0,1,0,0,0,0,2014,1949,1,303333,6,13,47
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1925,1959,0,622736,36,13,19
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1968,1993,1,413396,31,18,22
0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,1959,0,370100,23,11,37
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1933,1959,0,148573,25,17,35
0,1,0,0,0,0,0,0,0,0,0,1,0,0,2016,1959,0,734008,18,24,18
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1988,1959,0,72071,31,21,24
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1932,1913,1,716399,19,24,19
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1960,1956,1,408506,25,23,48
0,0,1,0,0,0,0,0,1,0,0,0,0,0,1917,1933,1,840481,15,21,17
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1990,2009,1,295611,14,21,15
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1908,1959,0,563030,7,13,27
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1906,1959,0,595182,24,23,35
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1938,1977,1,333884,30,20,36
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1966,1959,0,917407,23,8,41
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1988,1959,0,526381,7,14,23
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1993,1965,1,199006,13,18,17
0,0,0,0,0,0,1,0,0,0,0,0,1,0,2017,1959,0,289501,11,11,16
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1985,1943,1,163215,33,7,31
1,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,1962,1,625103,8,21,38
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1930,1941,1,530197,6,21,17
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1964,1959,0,567640,9,22,15
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1947,1906,1,649565,22,21,45
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1957,1959,0,562595,7,13,38
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1982,2009,1,402763,7,17,27
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1967,1959,0,726888,19,17,39
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1989,2022,1,379188,35,13,14
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1951,1929,1,924009,9,22,44
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2007,1926,1,207976,27,12,43
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1982,1959,0,914901,27,13,41
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1978,1959,0,853891,9,13,44
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1977,1935,1,552242,30,9,19
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1942,1993,1,615481,11,15,15
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1998,1959,0,991139,6,22,46
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1995,1977,1,695469,27,9,28
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1976,1904,1,220155,12,17,37
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1902,1959,0,870789,12,23,25
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1916,2016,1,775856,25,7,45
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1948,1984,1,116109,13,7,37
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1943,1984,1,765851,21,17,28
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1933,1994,1,418206,33,8,41
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1953,2019,1,108296,10,11,48
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1950,2013,1,781864,21,21,34
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1985,1959,0,382535,35,19,22
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1940,1902,1,322215,33,6,25
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1921,1976,1,640269,12,11,32
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1959,1963,1,487276,31,17,32
1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,1959,0,175876,34,21,30
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1938,1959,0,522707,17,12,23
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1926,1959,0,626940,10,13,27
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1958,1948,1,521962,6,6,25
0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016,1959,0,222537,9,22,40
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1943,1959,0,222623,29,24,28
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1958,1959,0,714260,10,13,27
0,0,0,1,0,0,0,0,0,0,0,0,1,0,2003,1947,1,308911,18,14,20
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1928,1959,0,134991,12,15,30
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1972,2021,1,245668,21,23,23
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1923,1948,1,700640,24,10,36
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1992,1933,1,396956,26,9,35
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1996,1959,0,599210,15,23,16
0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,1959,0,888187,21,10,30
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1905,1959,0,803514,34,9,12
0,0,0,0,1,0,0,0,0,1,0,0,0,0,2013,1959,0,496535,33,10,29
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1966,1951,1,760732,24,16,24
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1921,1959,0,858106,25,20,39
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1951,1913,1,990891,8,22,21
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1972,1918,1,378806,35,10,38
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1992,1937,1,231916,36,13,48
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1994,1959,0,573332,17,19,21
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1925,1988,1,181383,30,11,12
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1914,1959,0,42094,18,20,16
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1982,2000,1,521143,23,18,43
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1945,1959,0,742892,28,10,32
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1995,1983,1,309384,9,15,41
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1927,1922,1,780385,11,17,28
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1994,1959,0,163254,24,21,20
0,0,0,0,1,0,0,0,0,0,1,0,0,0,2014,1959,0,658785,13,15,35
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1937,1949,1,784583,23,23,41
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1928,1959,0,508307,14,13,33
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1982,1959,0,831360,32,20,32
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1996,1945,1,547656,26,12,35
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1902,1959,0,41617,36,20,41
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1920,1959,0,810933,30,15,31
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1931,1906,1,313396,28,23,42
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1905,1964,1,903818,9,15,13
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1915,1959,0,360544,36,13,47
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1925,1959,0,352485,28,22,36
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1930,1959,0,639236,24,18,33
0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,1959,0,726611,19,16,27
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1934,2011,1,689210,27,6,19
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1925,1959,0,436476,30,10,36
0,0,0,0,0,1,0,0,0,0,0,1,0,0,2013,1976,1,427174,25,22,12
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1964,1959,0,329426,29,18,36
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1902,1915,1,306143,36,9,22
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1992,1965,1,431142,17,9,15
0,1,0,0,0,0,0,0,0,0,0,0,1,0,2020,2000,1,401682,12,12,39
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1960,1960,1,869596,30,9,44
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1913,1959,0,170636,14,20,26
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1905,1959,0,52149,7,13,17
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1953,1992,1,942584,21,22,46
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1960,1920,1,30686,20,14,35
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1959,1959,0,872330,13,21,32
0,0,1,0,0,0,0,0,0,0,0,0,1,0,2015,1904,1,944738,9,8,44
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1995,1959,0,423973,13,19,31
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1937,1936,1,546114,33,22,13
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1931,1959,0,498036,17,12,44
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1925,1959,0,179873,22,17,18
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1958,1977,1,737898,20,24,37
0,1,0,0,0,0,0,0,0,0,1,0,0,0,2000,2002,1,218643,12,11,48
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1962,1980,1,92540,23,8,45
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1963,1970,1,178916,18,14,46
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1974,1959,0,675807,9,21,13
0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,1959,0,859415,16,14,14
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1973,1959,0,992654,20,17,25
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1951,1919,1,713375,6,15,43
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1979,1959,0,191996,31,23,31
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1991,1979,1,267122,35,7,18
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1977,1934,1,134492,11,19,44
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1927,1987,1,506033,16,22,27
0,0,0,1,0,0,0,0,0,0,1,0,0,0,2000,1967,1,709055,28,22,28
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1901,1945,1,99968,9,15,23
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1986,1924,1,811162,20,24,24
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1944,2002,1,149473,29,16,16
0,0,0,0,1,0,0,0,1,0,0,0,0,0,2016,1974,1,269055,17,23,40
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1950,1959,0,367499,11,16,29
0,0,0,0,1,0,0,0,0,1,0,0,0,0,2011,1959,0,685436,32,21,45
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1983,1933,1,93082,9,23,34
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1921,1959,0,140821,19,24,20
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1907,1959,0,595497,30,20,37
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1991,1937,1,467262,35,8,31
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1919,1959,0,713764,12,20,22
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1916,1921,1,768059,8,14,20
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1981,1959,0,281193,8,18,40
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1948,1928,1,155107,20,19,48
0,0,0,0,0,1,0,0,0,0,0,0,0,1,2000,1979,1,57548,6,21,30
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1991,1920,1,91789,8,8,22
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1921,1959,0,910668,12,23,46
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1903,1959,0,872266,26,22,28
0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020,1959,0,990589,34,21,20
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1943,1987,1,833267,32,15,44
0,0,0,1,0,0,0,1,0,0,0,0,0,0,2008,1959,0,922346,35,22,19
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1967,1973,1,564202,10,19,39
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1941,1959,0,247820,20,22,20
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1922,1943,1,926332,11,21,31
